SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs10908512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7588305	2	8780959	G	C	0.5426	-3e-4	0.0018	-0.16666666666666666	0.86	670783	BMI
rs59966106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2268894	2	162856148	C	T	0.5356	0.0033	0.0017	1.9411764705882353	0.055999999999999994	686854	BMI
rs138012093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144578582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6552737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2289881	5	66084260	G	T	0.3545	0.0052	0.0018	2.888888888888889	0.0042	683418	BMI
rs148054686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10041542	5	167832067	T	C	0.246	0.0062	0.002	3.1	0.0022	684382	BMI
rs17172044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2346440	7	133685512	G	C	0.465	0.004	0.0017	2.3529411764705883	0.02	688607	BMI
rs11979341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11993215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs113835443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62583528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7020341	9	119247974	G	C	0.3562	-0.0013	0.0018	-0.7222222222222222	0.47	692211	BMI
rs11245365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12802656	11	16534415	A	C	0.4661	-0.0011	0.0016	-0.6875	0.51	793019	BMI
rs659065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs61921502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79522035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77956314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs143933797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79727675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs429358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6060504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs5753220	22	30986350	T	C	0.2647	-5e-4	0.002	-0.25	0.82	692600	BMI
