SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.240116	-1.22619508440566e-4	9.016140326512204e-4	-0.136	0.8917	1232091	Smoking_Initiation
rs34487851	2	106642554	A	G	0.307818	3.0733e-4	9.012619971953392e-4	0.341	0.7333	1232091	Smoking_Initiation
rs10166461	2	127859413	G	A	0.192797	2.730980901772576e-4	9.013138289678468e-4	0.303	0.7621	1232091	Smoking_Initiation
rs116351076	3	118356759	C	T	0.0176514	0.001121057713613299	9.004479627416056e-4	1.245	0.2131	1232091	Smoking_Initiation
rs114498064	5	161442770	C	T	0.00599782	-8.86234088229927e-4	9.006443986076493e-4	-0.9840000000000001	0.3252	1232091	Smoking_Initiation
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.0324982	-4.9603746107135614e-5	9.018862928570112e-4	-0.055	0.9563	1232091	Smoking_Initiation
rs75680843	17	26640212	C	T	0.0627266	-0.004045547827643238	8.98411687240337e-4	-4.503	6.699e-6	1232091	Smoking_Initiation
rs11654699	17	30903310	C	T	0.499637	-3.1570143610474266e-5	9.020041031564075e-4	-0.035	0.9722	1232091	Smoking_Initiation
rs6857	19	45392254	C	T	0.175475	-0.0029052178392298387	8.991698666759017e-4	-3.2310000000000003	0.001234	1232091	Smoking_Initiation
