SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs11733695	4	100122916	A	G	0.0162	0.1179	0.0806	0.1434	4.4307723679920004e-4	54162
rs11940694	4	39414993	A	G	0.4189	-0.0363	0.0167	0.02941	6.415115523101998e-4	54162
rs1260326	2	27730940	T	C	0.4232	-8e-4	0.0161	0.9608	3.124502528e-7	54162
rs13107325	4	103188709	T	C	0.0697	0.0509	0.0308	0.09826	3.3598613769420004e-4	54162
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs72771074	16	20002523	C	A	0.7473	-9e-4	0.0185	0.9616	3.0592519020000005e-7	54162
