SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs1260326	2	27730940	T	C	0.613661	8e-4	0.0161	0.0496894	0.9608	54162	AD
rs4953148	2	45152522	A	T	0.393324	-0.0021	0.0178	-0.11797752808988764	0.9072	54162	AD
rs11940694	4	39414993	A	G	0.605493	0.0363	0.0167	2.17365	0.029410000000000002	54162	AD
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	4	100122916	G	A	0.00543085	0.1179	0.0806	1.4627791563275434	0.1434	54162	AD
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13107325	4	103188709	C	T	0.0473169	0.0509	0.0308	1.6525974025974026	0.09826	54162	AD
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	17	44364335	G	A	0.0639145	-0.1478	0.0377	-3.920424403183024	8.797e-5	54162	AD
rs9607805	22	41854446	C	T	0.738703	-0.0423	0.0176	-2.40341	0.01653	54162	AD
