SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs6857	19	45392254	C	T	0.175475	0.1917	0.0084	22.821428571428573	5.119999999999999e-110	82050	LDL_Cholesterol
rs34487851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs112833681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73214476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62341097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs80125278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144621483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9578438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28479400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs61041336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4803748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs142544282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
