SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs13115400	4	181885905	G	A	0.328794	-0.0013	0.005	-0.26	0.7544	91013	Triglycerides
rs17207326	7	37739901	G	A	0.0884058	-0.0027	0.0065	-0.415385	0.5861	172599.32	Triglycerides
rs769449	19	45410002	G	A	0.0998545	0.0423	0.0069	6.130434782608695	3.15e-9	87395.76	Triglycerides
rs7247764	19	45675873	T	C	0.229789	0.0093	0.0064	1.4531249999999998	0.1527	89485	Triglycerides
rs2664588	20	46580634	C	T	0.439521	0.0048	0.0047	1.0212765957446808	0.1748	89445	Triglycerides
rs115141604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62313278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12153566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs141162384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs316341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs61957926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs76881547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
