SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs4267554	2	46901045	A	G	0.1345	0.0059	0.0026	2.26923	0.025	681940	BMI
rs35055419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs16897042	5	67107448	T	C	0.02953	0.0026	0.0054	0.481481	0.63	666262	BMI
rs60871478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7798280	7	15093202	C	A	0.339	2e-4	0.0019	0.10526315789473685	0.9	686344	BMI
rs2439313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs514716	9	3929424	C	T	0.8694	6e-4	0.0026	0.23076923076923075	0.83	688652	BMI
rs9527039	13	53504675	T	C	0.08103	-0.0108	0.0033	-3.27273	0.00093000000000000005	675793	BMI
rs12889974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12961169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs769449	19	45410002	G	A	0.1161	-0.0254	0.0027	-9.407407407407407	2.3e-20	566857	BMI
rs34871495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs41157	22	30405151	T	C	0.6161	0.0042	0.0018	2.33333	0.017	692333	BMI
