SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs679515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6733839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34665982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114812713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1385742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11767557	7	143109139	T	C	0.203159	-0.0022	0.0069	-0.318841	0.6577	89815	LDL_Cholesterol
rs73223431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs867230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12416487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3740688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1582763	11	60021948	G	A	0.32763	-0.0034	0.0054	-0.62963	0.5246	89726	LDL_Cholesterol
rs3851179	11	85868640	T	C	0.667151	0.0052	0.0053	0.9811320754716981	0.8757	89888	LDL_Cholesterol
rs11218343	11	121435587	T	C	0.0344953	0.0132	0.0186	0.7096774193548387	0.6142	81974	LDL_Cholesterol
rs12590654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12151021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs111358663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4803765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12972156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117310449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73033507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114533385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs139995984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
