SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs1260326	2	27730940	T	C	0.613661	-3.0961	4.7252	-0.655232	0.5123	12964	Hippocampal_Volume
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	4	39414993	A	G	0.605493	-1.8847	4.6813	-0.402602	0.6872	13163	Hippocampal_Volume
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	4	100122916	G	A	0.00543085	33.9463	23.4664	1.4465917226332117	0.14800000000000002	10232	Hippocampal_Volume
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13107325	4	103188709	C	T	0.0473169	-13.6708	9.7364	-1.4040918614683044	0.1603	13163	Hippocampal_Volume
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	C	T	0.738703	12.5194	5.4382	2.30212	0.021329999999999998	13163	Hippocampal_Volume
