SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.2553	-0.019	0.0199	-0.9547738693467336	0.3409	757600	Diastolic_Blood_Pressure
rs34487851	2	106642554	A	G	0.2836	0.0155	0.0197	0.786802	0.4323	755480	Diastolic_Blood_Pressure
rs10166461	2	127859413	G	A	0.191	-0.046	0.022000000000000002	-2.090909090909091	0.0361	757599	Diastolic_Blood_Pressure
rs116351076	3	118356759	C	T	0.0323	-0.0451	0.0526	-0.8574144486692016	0.3915	757598	Diastolic_Blood_Pressure
rs114498064	5	161442770	C	T	0.0129	-0.013999999999999999	0.0857	-0.16336056009334887	0.8698	723255	Diastolic_Blood_Pressure
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.0404	0.0391	0.0445	0.8786516853932586	0.3792	757600	Diastolic_Blood_Pressure
rs75680843	17	26640212	C	T	0.0646	0.1268	0.0354	3.581920903954802	3.412e-4	757600	Diastolic_Blood_Pressure
rs11654699	17	30903310	C	T	0.5052	-0.01	0.0177	-0.5649717514124294	0.5696	757599	Diastolic_Blood_Pressure
rs6857	19	45392254	C	T	0.1686	-0.0122	0.0237	-0.5147679324894515	0.6061	748982	Diastolic_Blood_Pressure
