SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs1260326	2	27730940	T	C	0.613661	-0.002212	0.00411	-0.5382	0.5904	3146	CSF_Ab42
rs1920650	3	160335588	T	C	0.300474	-0.001836	0.00436	-0.42110091743119266	0.6738	3146	CSF_Ab42
rs13135092	4	103198082	A	G	0.0543478	0.007320999999999999	0.007965999999999999	0.9190308812452925	0.3582	3146	CSF_Ab42
rs7078436	10	30378863	A	G	0.27403	-0.001126	0.004372999999999999	-0.25748913789160766	0.7967	3146	CSF_Ab42
rs2293576	11	47434986	G	A	0.329029	-0.0112	0.0043159999999999995	-2.594995366079704	0.009522	3146	CSF_Ab42
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs35040843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62062288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs492602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
