SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs1260326	2	27730940	T	C	0.613661	0.005121	0.005377000000000001	0.95239	0.341	3146	CSF_ptau
rs4953148	2	45152522	A	T	0.393324	0.006945999999999999	0.007083	0.9806579133135676	0.3269	3146	CSF_ptau
rs1920650	3	160335588	T	C	0.300474	0.003426	0.005755	0.5953084274543875	0.5517	3146	CSF_ptau
rs11940694	4	39414993	A	G	0.605493	0.006093	0.005790999999999999	1.05215	0.2928	3146	CSF_ptau
rs13135092	4	103198082	A	G	0.0543478	-0.02376	0.01022	-2.324853228962818	0.02014	3146	CSF_ptau
rs7078436	10	30378863	A	G	0.27403	0.001394	0.0060420000000000005	0.23071830519695463	0.8175	3146	CSF_ptau
rs2293576	11	47434986	G	A	0.329029	0.004064	0.005714	0.7112355617780889	0.4769	3146	CSF_ptau
rs492602	19	49206417	A	G	0.383569	-0.002939	0.005765999999999999	-0.5097121054457163	0.6104	3146	CSF_ptau
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs35040843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62062288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
