SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs12630663	3	28007315	T	C	0.374819	-0.0057	0.0052	-1.09615	0.2866	94595	Total_Cholesterol
rs2301718	4	106009763	G	A	0.281329	0.0044	0.006	0.7333333333333334	0.4229	94516	Total_Cholesterol
rs386424	5	81092787	T	G	0.354704	-0.014	0.0056	-2.5	0.046689999999999995	94595	Total_Cholesterol
rs7715167	5	170778824	T	C	0.649726	-0.0117	0.0055	-2.12727	0.06822	94595	Total_Cholesterol
rs12357321	10	21790476	G	A	0.305707	-0.0039	0.0056	-0.696429	0.5528	94595	Total_Cholesterol
rs10876864	12	56401085	G	A	0.610867	-0.0018	0.0051	-0.352941	0.7766	94595	Total_Cholesterol
rs34464850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2802295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11759026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1628768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10878349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79600142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
