SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs11733695	4	100122916	A	G	0.0162	0.2184	0.1018	0.03192	0.0015203973238272002	40255
rs11940694	4	39414993	A	G	0.4189	-0.0149	0.0139	0.2837	1.0808458721579998e-4	40255
rs1260326	2	27730940	T	C	0.4232	-7e-4	0.0123	0.9537	2.3921972479999996e-7	40255
rs13107325	4	103188709	T	C	0.0697	-0.0073	0.0515	0.8868	6.910850767800001e-6	40255
rs144198753	4	99713350	T	C	0.024	0.0545	0.1117	0.6255	1.39150272e-4	40255
rs148382129	4	100885120	T	C	0.0171	0.1131	0.1102	0.3048	4.299922726398001e-4	40255
rs4953148	2	45152522	A	T	0.69	0.0044	0.0285	0.8777	8.282208e-6	40255
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	T	C	0.7206	-0.0369	0.0285	0.1947	5.482812415608e-4	40255
