SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.2555	0.0201	0.0235	0.8553191489361702	0.3935	738169	Pulse_Pressure
rs34487851	2	106642554	A	G	0.2835	0.0268	0.0234	1.1453	0.2509	736049	Pulse_Pressure
rs10166461	2	127859413	G	A	0.1911	-0.0353	0.026000000000000002	-1.3576923076923075	0.1741	738167	Pulse_Pressure
rs116351076	3	118356759	C	T	0.0324	0.0247	0.0622	0.39710610932475887	0.6919	738166	Pulse_Pressure
rs12595161	15	52922890	G	A	0.0402	0.0152	0.0526	0.2889733840304182	0.7732	745819	Pulse_Pressure
rs75680843	17	26640212	C	T	0.0649	0.0881	0.0417	2.1127098321342923	0.03465	745818	Pulse_Pressure
rs11654699	17	30903310	C	T	0.5058	0.0127	0.0208	0.6105769230769231	0.5417	745818	Pulse_Pressure
rs6857	19	45392254	C	T	0.1681	0.1745	0.0281	6.209964412811387	5.289e-10	740416	Pulse_Pressure
rs114498064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
