SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.240116	-0.002174186178742694	0.0026611825933203106	-0.8170000000000001	0.4137	141090	AUDIT_Total
rs34487851	2	106642554	A	G	0.307818	-0.00201913	0.0027066068882968587	-0.746	0.4558	136448	AUDIT_Total
rs10166461	2	127859413	G	A	0.192797	0.003496150736398858	0.0026546322979490193	1.317	0.1879	141432	AUDIT_Total
rs116351076	3	118356759	C	T	0.0176514	5.606113336556952e-4	0.002682350878735384	0.209	0.8346	139499	AUDIT_Total
rs114498064	5	161442770	C	T	0.00599782	-0.003208872504591384	0.0026585521993300614	-1.207	0.2274	141088	AUDIT_Total
rs12595161	15	52922890	G	A	0.0324982	0.001213908480235522	0.002656254880165256	0.457	0.6476	141932	AUDIT_Total
rs75680843	17	26640212	C	T	0.0627266	-3.03488835040192e-4	0.0026621827635104557	-0.114	0.9092	141810	AUDIT_Total
rs11654699	17	30903310	C	T	0.499637	0.0022886088781620376	0.002784195715525593	0.8220000000000001	0.4113	128890	AUDIT_Total
rs6857	19	45392254	C	T	0.175475	-0.006041965992120433	0.002646502843679559	-2.283	0.02242	141706	AUDIT_Total
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
