SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs6810023	3	107551521	G	A	0.1568	0.0128	0.0024	5.333333333333334	1.5e-7	685267	BMI
rs352757	8	15598037	G	A	0.8734	0.0119	0.0026	4.5769230769230775	5.5e-6	689559	BMI
rs2427238	20	60480767	G	T	0.95101	-0.0019	0.0043	-0.4418604651162791	0.66	659076	BMI
rs115769137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7652621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75460203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs39938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7979834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12583648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs74587705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12373108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150111968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75685347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
