SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs115141604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62313278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13115400	4	181885905	G	A	0.328794	0.0036	0.0051	0.7058823529411764	0.8721	94311	HDL_Cholesterol
rs12153566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs141162384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs316341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs17207326	7	37739901	G	A	0.0884058	-0.0078	0.0066	-1.18182	0.2938	181899.81	HDL_Cholesterol
rs61957926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs76881547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs769449	19	45410002	G	A	0.0998545	-0.0636	0.0071	-8.95775	6.791e-17	93367.18	HDL_Cholesterol
rs7247764	19	45675873	T	C	0.229789	0.0124	0.0066	1.8787878787878787	0.1129	92820	HDL_Cholesterol
rs2664588	20	46580634	C	T	0.439521	-0.0055	0.0048	-1.14583	0.3399	92780	HDL_Cholesterol
