SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs4267554	2	46901045	A	G	0.103736	0.0065	0.0082	0.7926829268292682	0.3461	94595	Total_Cholesterol
rs16897042	5	67107448	T	C	0.018485	0.0223	0.0167	1.3353293413173652	0.1219	91474	Total_Cholesterol
rs7798280	7	15093202	C	A	0.354991	4e-4	0.0055	0.07272727272727274	0.8575	94595	Total_Cholesterol
rs514716	9	3929424	C	T	0.844307	5e-4	0.0078	0.06410256410256411	0.8204	94595	Total_Cholesterol
rs9527039	13	53504675	T	C	0.0810909	-0.01	0.0096	-1.04167	0.3745	93623	Total_Cholesterol
rs769449	19	45410002	G	A	0.0998545	0.1589	0.0072	22.069444444444446	6.769999999999999e-103	93260.18	Total_Cholesterol
rs41157	22	30405151	T	C	0.714623	0.0086	0.0053	1.6226415094339623	0.1874	91556	Total_Cholesterol
rs35055419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs60871478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2439313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12889974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12961169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34871495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
