SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs6810023	3	107551521	G	A	0.148296	0.0084	0.0068	1.2352941176470589	0.3636	94311	HDL_Cholesterol
rs352757	8	15598037	G	A	0.9058	-0.0068	0.0072	-0.944444	0.6459999999999999	94311	HDL_Cholesterol
rs2427238	20	60480767	G	T	0.968341	-0.0136	0.0132	-1.0303	0.1444	81691	HDL_Cholesterol
rs115769137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7652621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75460203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs39938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7979834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12583648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs74587705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12373108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150111968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75685347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
