SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.240116	-8.63671635709602e-6	0.0017273432714192038	-0.005	0.9961	337334	Cigarettes_Per_Day
rs34487851	2	106642554	A	G	0.307818	-0.00111231	0.0017218462478987304	-0.646	0.5181	337334	Cigarettes_Per_Day
rs10166461	2	127859413	G	A	0.192797	7.527877270279222e-4	0.0017226263776382658	0.43700000000000006	0.6618	337334	Cigarettes_Per_Day
rs116351076	3	118356759	C	T	0.0176514	-2.4312627238791895e-4	0.001724299804169638	-0.141	0.8877	337334	Cigarettes_Per_Day
rs114498064	5	161442770	C	T	0.00599782	8.112930009443877e-4	0.001722490447864942	0.47100000000000003	0.6378	337334	Cigarettes_Per_Day
rs12595161	15	52922890	G	A	0.0324982	2.2589527420885608e-4	0.0017243914061744739	0.131	0.8958	337334	Cigarettes_Per_Day
rs75680843	17	26640212	C	T	0.0627266	-0.003845952021233322	0.0017347550840024005	-2.217	0.026619999999999998	330721	Cigarettes_Per_Day
rs11654699	17	30903310	C	T	0.499637	-0.0013802255144506287	0.001847691451741136	-0.747	0.4551	292829	Cigarettes_Per_Day
rs6857	19	45392254	C	T	0.175475	-0.003859788166296431	0.0017347362545152498	-2.225	0.026080000000000002	330721	Cigarettes_Per_Day
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
