SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34487851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10166461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs116351076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114498064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.0324982	-0.0077	0.0081	-0.950617	0.4819	176221.93	Triglycerides
rs75680843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11654699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6857	19	45392254	C	T	0.175475	0.0537	0.0069	7.782608695652174	4.548e-19	82963	Triglycerides
