SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34487851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10166461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs116351076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114498064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.0324982	-0.0064	0.0092	-0.695652	0.5914	171526.43	LDL_Cholesterol
rs75680843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11654699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6857	19	45392254	C	T	0.175475	0.1917	0.0084	22.821428571428573	5.119999999999999e-110	82050	LDL_Cholesterol
