SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs6810023	3	107551521	G	A	0.148296	0.0046	0.0072	0.638888888888889	0.8129	94595	Total_Cholesterol
rs352757	8	15598037	G	A	0.9058	-0.0046	0.0077	-0.597403	0.4117	94595	Total_Cholesterol
rs2427238	20	60480767	G	T	0.968341	0.01	0.0146	0.684931506849315	0.987	81790	Total_Cholesterol
rs115769137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7652621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75460203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs39938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7979834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12583648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs74587705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12373108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150111968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75685347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
