SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs1260326	2	27730940	T	C	0.613661	0.002061	0.005737	0.359247	0.7194	3146	CSF_ab42
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13107325	4	103188709	C	T	0.0473169	-0.007384	0.011170000000000001	-0.6610564010743061	0.5086	3146	CSF_ab42
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	C	T	0.738703	-0.002776	0.006431999999999999	-0.431592	0.6661	3146	CSF_ab42
