SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs10908512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7588305	2	8780959	G	C	0.569222	-0.0128	0.0063	-2.03175	0.05496	89203	LDL_Cholesterol
rs59966106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2268894	2	162856148	C	T	0.559688	0.0131	0.0052	2.5192307692307696	0.022000000000000002	89888	LDL_Cholesterol
rs138012093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144578582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6552737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2289881	5	66084260	G	T	0.365062	0.0044	0.0054	0.8148148148148148	0.3912	89888	LDL_Cholesterol
rs148054686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10041542	5	167832067	T	C	0.240889	0.0036	0.0063	0.5714285714285714	0.3599	89874	LDL_Cholesterol
rs17172044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2346440	7	133685512	G	C	0.474536	0.0026	0.0052	0.5	0.7423	89888	LDL_Cholesterol
rs11979341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11993215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs113835443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62583528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7020341	9	119247974	G	C	0.411583	-0.0046	0.0054	-0.851852	0.6906	89883	LDL_Cholesterol
rs11245365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12802656	11	16534415	A	C	0.520894	0.0059	0.0037	1.5945945945945945	0.1626	173011	LDL_Cholesterol
rs659065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs61921502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79522035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77956314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs143933797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79727675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs429358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6060504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs5753220	22	30986350	T	C	0.209648	-3e-4	0.006	-0.05	0.9620000000000001	88377	LDL_Cholesterol
