SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.2559	0.0115	0.0347	0.3314121037463977	0.7409	738169	Systolic_Blood_Pressure
rs34487851	2	106642554	A	G	0.2839	0.0451	0.0345	1.30725	0.1906	736049	Systolic_Blood_Pressure
rs10166461	2	127859413	G	A	0.1912	-0.0789	0.0382	-2.0654450261780104	0.03899	738167	Systolic_Blood_Pressure
rs116351076	3	118356759	C	T	0.0323	-0.0213	0.092	-0.23152173913043478	0.8165	738166	Systolic_Blood_Pressure
rs114498064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.0403	0.0489	0.0771	0.6342412451361867	0.5259	745819	Systolic_Blood_Pressure
rs75680843	17	26640212	C	T	0.0648	0.1896	0.0613	3.092985318107667	0.001984	745818	Systolic_Blood_Pressure
rs11654699	17	30903310	C	T	0.5053	0.006999999999999999	0.0306	0.22875816993464052	0.8201	745818	Systolic_Blood_Pressure
rs6857	19	45392254	C	T	0.1681	0.1564	0.0412	3.796116504854369	1.471e-4	740416	Systolic_Blood_Pressure
