SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs679515	1	207750568	T	C	0.822073	-0.0035	0.0102	-0.343137	0.7287	572804	Type_2_Diabetes
rs6733839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34665982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114812713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1385742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11767557	7	143109139	T	C	0.212514	-0.0131	0.0095	-1.3789473684210527	0.1698	577476	Type_2_Diabetes
rs73223431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs867230	8	27468503	C	A	0.587902	-0.0068	0.008	-0.85	0.3987	557096	Type_2_Diabetes
rs12416487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3740688	11	47380340	G	T	0.545059	-0.0167	0.008	-2.0875	0.03599	569527	Type_2_Diabetes
rs1582763	11	60021948	G	A	0.3784	-0.0178	0.008	-2.225	0.025960000000000004	578432	Type_2_Diabetes
rs3851179	11	85868640	T	C	0.629575	0.0099	0.0081	1.22222	0.2188	576925	Type_2_Diabetes
rs11218343	11	121435587	T	C	0.0383622	-0.0711	0.0204	-3.4852941176470584	5.019e-4	572734	Type_2_Diabetes
rs12590654	14	92938855	G	A	0.33852	-0.0113	0.0083	-1.36144578313253	0.1769	561903	Type_2_Diabetes
rs12151021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs111358663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4803765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12972156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117310449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73033507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114533385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs139995984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
