SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34487851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10166461	2	127859413	G	A	0.190756	0.0189	0.0099	1.909090909090909	0.05631	571915	Type_2_Diabetes
rs116351076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114498064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.0394808	-0.0339	0.018000000000000002	-1.883333333333333	0.0598	605019	Type_2_Diabetes
rs75680843	17	26640212	C	T	0.064392	0.0067	0.016	0.41875	0.6758	573264	Type_2_Diabetes
rs11654699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
