SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs10789062	1	58914980	T	C	0.20366499999999998	0.0108	0.0157	0.491	3.7834649250552e-5	5900	0.50324193981988
rs10191160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs579837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs78323057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1229984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs147909804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1028427	6	52383676	A	G	0.274269	-3e-4	0.0027	0.8234	3.5828192815019995e-8	54542	0.82827609023782
rs111312143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4590429	8	69409738	T	C	0.6266860000000001	-0.0015	0.0022	0.269	1.0527779583179999e-6	57551.51	0.282662342149985
rs4590429	8	69409738	T	C	0.99036033	-0.0015	0.0022	0.269	4.296036043030991e-8	57551.51	0.282662342149985
rs2006682	9	6227045	C	G	0.712766	0.0052	0.003	0.3124	1.1071832429515519e-5	48435.6	0.32616967090459
rs13296886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79171978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9571413	13	34888192	C	G	0.9331383	0.0043	0.0043	0.8538	2.3072270594436086e-6	57648.43	0.85785726819945
rs187025437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs870089	14	57891292	C	G	0.867293	0.0036	0.0038	0.3907	2.9832844877539203e-06	57450.98	0.404129948702824
rs77694582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7240201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs8088633	18	72946216	A	G	0.031583	0.0338	0.02	0.08409	6.988422948194167e-5	18278.64	0.0931578259016035
rs5768156	22	48314463	A	G	0.391315	0.0067	0.0023	0.02486	2.1384480104179503e-5	57468	0.029210869929084098
