SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs7588305	2	8780959	G	C	0.569222	-0.0117	0.0062	-1.8871	0.04559	93874	Total_Cholesterol
rs2268894	2	162856148	C	T	0.559688	0.0117	0.0051	2.2941176470588234	0.0371	94595	Total_Cholesterol
rs2289881	5	66084260	G	T	0.365062	0.0063	0.0053	1.1886792452830188	0.1562	94595	Total_Cholesterol
rs10041542	5	167832067	T	C	0.240889	3e-4	0.0061	0.04918032786885245	0.5629	94581	Total_Cholesterol
rs2346440	7	133685512	G	C	0.474536	0.0033	0.0051	0.6470588235294117	0.6011	94595	Total_Cholesterol
rs7020341	9	119247974	G	C	0.411583	-0.0026	0.0053	-0.490566	0.9756	94590	Total_Cholesterol
rs12802656	11	16534415	A	C	0.520894	0.0063	0.0035	1.8	0.08134	187264	Total_Cholesterol
rs5753220	22	30986350	T	C	0.209648	0.001	0.0059	0.16949152542372883	0.7587	93009	Total_Cholesterol
rs10908512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs59966106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs138012093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144578582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6552737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148054686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs17172044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11979341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11993215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs113835443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62583528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11245365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs659065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs61921502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79522035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77956314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs143933797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79727675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs429358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6060504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
