SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs12630663	3	28007315	T	C	0.4115	0.0035	0.0018	1.94444	0.043	687710	BMI
rs2301718	4	106009763	G	A	0.2281	-6e-4	0.0021	-0.2857142857142857	0.8	668982	BMI
rs386424	5	81092787	T	G	0.2943	-3e-4	0.0019	-0.157895	0.87	688749	BMI
rs7715167	5	170778824	T	C	0.6101	-0.0032	0.0018	-1.77778	0.07	692347	BMI
rs12357321	10	21790476	G	A	0.3233	0.0178	0.0019	9.368421052631579	1.0000000000000001e-20	665895	BMI
rs10876864	12	56401085	G	A	0.5938	0.0114	0.0017	6.7058823529411775	3.8e-11	692582	BMI
rs34464850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2802295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11759026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1628768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10878349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79600142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
