SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs6810023	3	107551521	G	A	0.148296	-0.0079	0.0066	-1.19697	0.3149	91013	Triglycerides
rs352757	8	15598037	G	A	0.9058	-1e-4	0.0071	-0.0140845	0.9281	91013	Triglycerides
rs2427238	20	60480767	G	T	0.968341	-0.0016	0.0142	-0.112676	0.9670000000000001	60679	Triglycerides
rs115769137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7652621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75460203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs39938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7979834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12583648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs74587705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12373108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150111968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75685347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
