SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.249597	0.0030787	0.00281465	1.09381	0.27	335576	fish_plant_diet
rs34487851	2	106642554	A	G	0.278296	-2.98556e-5	0.00276515	-0.0107971	0.99	335576	fish_plant_diet
rs10166461	2	127859413	G	A	0.189604	-4.34729e-4	0.00310272	-0.140112	0.89	335576	fish_plant_diet
rs116351076	3	118356759	C	T	0.025125	-0.0202179	0.00784859	-2.57599	0.01	335576	fish_plant_diet
rs114498064	5	161442770	C	T	0.011578	-0.0095793	0.0113748	-0.842151	0.4	335576	fish_plant_diet
rs117530689	7	102030935	C	A	0.029358	0.00336764	0.0072851	0.462264	0.64	335576	fish_plant_diet
rs12595161	15	52922890	G	A	0.039452	-2.02277e-5	0.00623161	-0.00324598	1	335576	fish_plant_diet
rs75680843	17	26640212	C	T	0.064527	0.00706633	0.00494689	1.42844	0.15	335576	fish_plant_diet
rs11654699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6857	19	45392254	C	T	0.171238	-0.0197233	0.00322947	-6.10729	1e-9	335576	fish_plant_diet
