SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs11675119	2	3476422	C	A	0.240116	-0.0016589886373837438	0.0010297881051419887	-1.611	0.1072	941280	Drinks_Per_Week
rs34487851	2	106642554	A	G	0.307818	-6.13337e-4	0.0010308177176588905	-0.595	0.5517	941280	Drinks_Per_Week
rs10166461	2	127859413	G	A	0.192797	0.0022798353528449672	0.0010292710396591275	2.215	0.02673	941280	Drinks_Per_Week
rs116351076	3	118356759	C	T	0.0176514	-7.729735363361357e-4	0.0010306313817815143	-0.75	0.45299999999999996	941280	Drinks_Per_Week
rs114498064	5	161442770	C	T	0.00599782	-8.841791712705803e-4	0.001030511854627716	-0.858	0.3908	941280	Drinks_Per_Week
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.0324982	4.526229857236487e-4	0.00103103185814043	0.439	0.6609	941280	Drinks_Per_Week
rs75680843	17	26640212	C	T	0.0627266	-7.534077298172139e-4	0.0010306535291617154	-0.731	0.4647	941280	Drinks_Per_Week
rs11654699	17	30903310	C	T	0.499637	-7.760631457209717e-4	0.0010306283475710115	-0.753	0.4514	941280	Drinks_Per_Week
rs6857	19	45392254	C	T	0.175475	-0.0014522565004275948	0.0010299691492394291	-1.41	0.1586	941280	Drinks_Per_Week
