SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs6810023	3	107551521	G	A	0.148296	0.0058	0.0074	0.7837837837837837	0.737	89888	LDL_Cholesterol
rs352757	8	15598037	G	A	0.9058	4e-4	0.0078	0.05128205128205129	0.6893	89888	LDL_Cholesterol
rs2427238	20	60480767	G	T	0.968341	0.0111	0.0161	0.68944099378882	0.8739	59902	LDL_Cholesterol
rs115769137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7652621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75460203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs39938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7979834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12583648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs74587705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12373108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150111968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs75685347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
