SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs13115400	4	181885905	G	A	0.3466	-3e-4	0.0018	-0.16666666666666666	0.87	689335	BMI
rs17207326	7	37739901	G	A	0.07764	-0.0043	0.003	-1.4333333333333333	0.16	777531	BMI
rs769449	19	45410002	G	A	0.1161	-0.0254	0.0027	-9.407407407407407	2.3e-20	566857	BMI
rs7247764	19	45675873	T	C	0.1829	0.0031	0.0023	1.34783	0.18	677044	BMI
rs2664588	20	46580634	C	T	0.4455	-0.0012	0.0017	-0.7058823529411764	0.49	683749	BMI
rs115141604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62313278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12153566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs141162384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs316341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs61957926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs76881547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
