SNP	CHROM	POS	REF	ALT	AF	BETA	SE	Z	P	N	TRAIT
rs1260326	2	27730940	T	C	0.5992	-0.00473177	0.008844426413045255	-0.535	0.5927	26615	Hippocampal_Volume
rs4953148	2	45152522	A	T	0.3258	-0.00247848	0.009213692195751385	-0.269	0.7879999999999999	26814	Hippocampal_Volume
rs11940694	4	39414993	A	G	0.5862	-0.00626885	0.008767623851176638	-0.715	0.4746	26814	Hippocampal_Volume
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	4	100122916	G	A	0.015	0.00453601016441598	0.03811773247408387	0.11899999999999998	0.9055	23291	Hippocampal_Volume
rs148382129	4	100885120	C	T	0.0132	-0.08070583815998099	0.05852490076865916	-1.379	0.1678	11205	Hippocampal_Volume
rs13107325	4	103188709	C	T	0.0616	0.006519666816438724	0.01796051464583671	0.3629999999999999	0.7165	26814	Hippocampal_Volume
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	17	43798360	A	G	0.2043	-0.0228982	0.023877213798841602	-0.959	0.3377	5394	Hippocampal_Volume
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	C	T	0.7232	0.007996138610811084	0.00971584278348856	0.823	0.4102	26459	Hippocampal_Volume
